,length,success,reward,start_distance,mean_velocity,mean_acceleration,min_velocity,min_acceleration,max_velocity,max_acceleration,std_velocity,std_acceleration,mean_angle_change,min_angle_change,max_angle_change,std_angle_change
0,101,True,2.919127583674238,96.68903387985614,0.9726566598881874,0.1513135775636646,0.3917552019165468,0.0,1.0000000808209308,0.3917552019165468,0.07783580172583139,0.06787867136295052,0.1568188365881652,0.003950513714466863,0.7639093714282397,0.08782888124553544
1,73,False,-3.060305846048301,83.44271816676134,0.9527864496929712,0.17535898263522146,0.38324337813696885,0.0,1.000000090290135,0.38324337813696885,0.09111072226920226,0.054790443004036654,0.1819784149146698,0.008984590070391762,0.7853981633974483,0.09256828097732661
2,49,False,-3.032575208150356,52.11993963889329,0.9233350073951129,0.18279904389726112,0.3628758019039387,0.0,1.0000000709278178,0.3628758019039387,0.11454801605887942,0.05381066495791498,0.2173381122827375,0.0003210212925069955,1.954788883673158,0.26128315860084134
3,65,True,2.958680916020688,60.4310068268974,0.956603065572171,0.1673279057529831,0.3984593934666286,4.209509075252572e-08,1.0000000622996736,0.3984593934666286,0.0906820373608909,0.0654591586264722,0.16061306965685923,0.02081257480641141,0.21585966402710638,0.06473148734423402
4,43,False,-3.047778565508433,106.47529723235031,0.9481108544593517,0.1564802462601561,0.38852697120360696,0.0,1.000000095584832,0.38852697120360696,0.11452247964130488,0.07693596363138891,0.17982434707042802,0.0024233356592751054,1.2093559675992518,0.17275738855307915
5,43,False,-3.029676398356532,53.664528270043945,0.9443581903826033,0.17597085620056083,0.3991917089695285,0.0,1.0000000658984192,0.3991917089695285,0.10760393836984032,0.06613034177581856,0.1741514910653022,0.015270709181256226,0.3955410608434185,0.06830715754395265
6,93,True,2.9306513401202756,85.58236150338314,0.9617677814344079,0.1678444575751775,0.39868218664017463,0.0,1.000000062794981,0.39868218664017463,0.07839234820234044,0.06373846623674224,0.1784133315242593,0.0006033311934416918,1.750464617985524,0.17736669086987905
7,45,True,2.9759743082678907,42.56316000364374,0.937217499349604,0.17972515535630326,0.355840673675383,0.0,1.00000008735248,0.355840673675383,0.12340105552015015,0.05831762108460306,2.722771455891674,0.017946460031717848,6.166176523550956,2.8980520752656727
8,95,False,-3.109091865855828,138.2501168872923,0.9701854097971869,0.1708086818496188,0.3997697082353876,0.0,1.0000000852655353,0.3997697082353876,0.07754624293121147,0.05762432030973834,0.18714681740022826,0.00981862373092457,2.356194490192345,0.23143724757281767
9,82,False,-3.0869666090026073,117.42242550976036,0.9620434088388299,0.15025439734519386,0.37907174505234204,0.0,1.0000000848254746,0.37907174505234204,0.0900833830998993,0.07067697121452704,0.8932491097075383,0.00010174699092546646,6.184880869656702,1.9533845656348303
