,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_velocity,max_acceleration
0,124,2.9272498691183064,True,0.968524487743531,0.19760095490928564,0.3778887687957366,1.0,0.3
1,54,2.9836117249052134,True,0.9724079881443968,0.1725550802308723,0.17358449033143894,1.0,0.3
2,63,2.9825918455891394,True,0.9253145495465895,0.20734558936829928,0.22029616479584122,1.0,0.3
3,1,-3.0013230264345783,False,0.3,0.3,7.061155404551126,1.0,0.3
4,141,2.8956260688250426,True,0.9844521538451219,0.11138388580868723,0.14006093678357656,1.0,0.3
5,97,2.9489990398485624,True,0.980187022591753,0.10461059646332718,0.14126537659134447,1.0,0.3
6,179,-3.178483613037652,False,0.9683340795881706,0.16397851525682364,0.17227790902231094,1.0,0.3
7,72,2.9735479960763516,True,0.9699162475162305,0.1357072855201008,0.2150474971219789,1.0,0.3
8,47,2.9914003982462636,True,0.8451199157315664,0.2606818203813397,0.5204041015898012,1.0,0.3
9,30,-3.036360169690598,False,0.9125106774493266,0.22202259850224484,0.41771379712498924,1.0,0.3
10,198,2.8355004716734973,True,0.9125185909473486,0.14134900816343865,0.39855305768523014,1.0,0.3
11,17,-3.0087749813075155,False,0.830062462176865,0.2999999999999999,0.6806043304331632,1.0,0.3
12,100,-3.1333367199353424,False,0.9706539534661914,0.10573718898373784,0.5048408084085974,1.0,0.3
13,4,-3.0061212363475507,False,0.5304368549257664,0.29271258639520603,0.372006700479264,1.0,0.3
14,86,-3.1126097559593875,False,0.9731923954471045,0.09643467276112319,0.15475748095091052,1.0,0.3
15,1,-3.0012407422674623,False,0.30000000000000004,0.30000000000000004,6.15580376351271,1.0,0.3
16,49,2.9871601787841193,True,0.9589448559755076,0.14859745537385882,0.26323113847626506,1.0,0.3
17,67,2.9756479628429133,True,0.9727874266444974,0.15224520546294648,0.22502234448251096,1.0,0.3
18,21,-3.032460054030211,False,0.8688953653133679,0.21217797188224732,2.153044997858665,1.0,0.3
19,80,2.9659095948808485,True,0.9805525455365445,0.14156100389318022,0.18590515269149196,1.0,0.3
20,136,2.9008325353758018,True,0.9848493631581384,0.11664886108986766,0.13069981252421226,1.0,0.3
21,149,2.880849481342636,True,0.991898268345065,0.03434357375977631,0.09799095921933616,1.0,0.3
22,34,2.9942233037623995,True,0.9565100917624005,0.2246236913512455,0.21075247147603934,1.0,0.3
23,26,-3.0354445766269564,False,0.9216354861017589,0.23920527336151814,0.25440686948656166,1.0,0.3
24,134,2.908890050322109,True,0.9791912215810442,0.1521933870179299,0.2929365486540896,1.0,0.3
25,27,2.9956267212899985,True,0.9369373386610508,0.15227692830336892,0.3938762070084805,1.0,0.3
26,8,-3.00289127820579,False,0.7948536152253372,0.28461270623388446,0.8472501531005113,1.0,0.3
27,49,-3.0710956692649383,False,0.8226963703936837,0.2661744585198602,0.3775839651319104,1.0,0.3
28,41,2.9906296408127457,True,0.9560944182607203,0.18561606923940402,0.33906190200859765,1.0,0.3
29,1,-3.0004065264473168,False,0.30000000000000004,0.30000000000000004,0.8674162324878099,1.0,0.3
30,107,2.9397029213470716,True,0.9749310609861578,0.12272770455848143,0.12421045757531718,1.0,0.3
