,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_velocity,max_acceleration
0,188,2.8195731597294253,True,0.9842484627646585,0.10113273607638479,0.12472969668502372,0.3,0.1
1,155,2.8801812795509054,True,0.9715782083950708,0.16859024887077975,0.1717860343761977,0.3,0.1
2,109,2.9381596034139084,True,0.978824015378524,0.11823685272361178,0.1329415563825839,0.3,0.1
3,123,2.918810764342735,True,0.9723500589593166,0.10466560314272444,0.45179315002146075,0.3,0.1
4,177,2.8455093320753324,True,0.979034223927973,0.10564131259155034,0.12396749299293539,0.3,0.1
5,128,2.9188233030917914,True,0.9588856138759319,0.15923085400815865,0.19091858115902702,0.3,0.1
6,101,2.9470532668411042,True,0.9654643604942511,0.11879428262776125,0.35739775096398296,0.3,0.1
7,32,2.9943563433966123,True,0.9338542099299174,0.23210933582573823,0.255496861894698,0.3,0.1
8,176,2.8433741232086334,True,0.9801031298265284,0.1254585023985135,0.12376443806639216,0.3,0.1
9,204,2.791287911924743,True,0.9650614827522579,0.1089778532061701,0.11459568039221296,0.3,0.1
10,90,2.956858858922195,True,0.9827800195564036,0.11153335181867827,0.8045234755395488,0.3,0.1
11,146,2.8868307424080917,True,0.9847013959665547,0.0959750162923045,0.1402136883436253,0.3,0.1
12,20,2.9978541750719443,True,0.9357536095947039,0.21101786854610965,0.17456099909779102,0.3,0.1
13,44,2.9895147738808086,True,0.9634357399977515,0.14498319250585887,0.15815832461822946,0.3,0.1
14,85,2.961720998619753,True,0.9618550376362337,0.13413503283123235,0.15086600444252843,0.3,0.1
15,44,2.988992608223036,True,0.9586617132669201,0.1576344827071151,0.2757520240033334,0.3,0.1
16,137,2.903819837636111,True,0.9778280457471238,0.10311018198684076,0.14978058226356714,0.3,0.1
17,249,2.678983927789816,True,0.9826803333847509,0.08636299471504855,0.1325219698014292,0.3,0.1
18,103,2.9438872007478607,True,0.9686098608695775,0.1507458770338329,0.38748691392701157,0.3,0.1
19,74,2.971902369346998,True,0.9718515094929748,0.17331154069465945,0.22128979688193748,0.3,0.1
20,67,2.974996960456279,True,0.9792339912581176,0.11760000995963166,0.2049247656688595,0.3,0.1
21,192,2.808396671717504,True,0.9720811174483089,0.12371333204265413,0.1800834135578544,0.3,0.1
22,1,-3.0001727055615484,False,0.30000000000000004,0.30000000000000004,1.0427998399990361,0.3,0.1
23,146,2.895823136808698,True,0.9583562794950435,0.1704119341301081,0.4071024969900246,0.3,0.1
24,120,2.9261170360729984,True,0.9809243391636765,0.13778578855306176,1.2278383330383025,0.3,0.1
25,18,2.997942074206663,True,0.9182983910653625,0.13952408550014955,0.19593175603605334,0.3,0.1
