,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_acceleration,max_velocity
2393,148,2.888422017390909,True,0.9788672207767827,0.12010095402548203,0.16425832317403416,0.6461560823246948,1.9384682469740844
2394,23,-3.011419890046187,False,0.8448999124563364,0.25693572333465536,0.5004917095222455,0.27424523206088464,0.822735696182654
2395,164,2.871084903446349,True,0.9749479742551627,0.20327828298999975,0.231871706762486,0.47025199075408886,1.4107559722622667
2396,148,2.8859882366668987,True,0.9867152865161062,0.13095517434596254,0.9286969773630847,0.07790034335766927,0.2337010300730078
2397,5,2.9997809369490493,True,0.758373544763523,0.21269430798363548,0.2029612932944742,0.07905833087626024,0.23717499262878072
2398,83,2.962276096774368,True,0.9752474476769591,0.06870051844143658,0.1280204453922718,0.4201367991480343,1.260410397444103
2399,12,-3.019774864422015,False,0.8848728335711508,0.25513302653685477,0.27465934953269067,0.28481397328139013,0.8544419198441704
2400,122,2.925791927425591,True,0.9833448676417262,0.13874186047876902,0.13320532787499237,0.1949947682966458,0.5849843048899375
2401,21,-3.039678502373434,False,0.8837543449908123,0.21935060962016747,2.1803442114763065,0.4059446561871395,1.2178339685614183
2402,153,2.904424623634003,True,0.9612176912773178,0.2150839621715545,1.0577034888113197,0.3249611190208428,0.9748833570625284
2403,178,-3.183472149410177,False,0.985177908534651,0.13109308258800317,0.37541856217667274,0.0663043615797716,0.1989130847393148
2404,138,2.909621745581314,True,0.9845107704667126,0.09677675593859401,0.7268665898956991,0.30532745603242045,0.9159823680972614
2405,32,2.9942583774832223,True,0.9091982584398067,0.19891291089135882,0.21664806758651015,0.459695981580101,1.379087944740303
2406,151,2.889491377541173,True,0.9870533704545591,0.11815316353365826,0.11361683503899954,0.049102545007259746,0.14730763502177924
2407,7,-3.010207045793321,False,0.7503676201849613,0.26644466014818763,1.0314027321525685,0.0262949883011252,0.0788849649033756
2408,86,2.960260050720459,True,0.9802574666871575,0.07333737546748527,0.06794208173194181,0.1848483257527201,0.5545449772581603
2409,1,-3.0004213901864625,False,0.3,0.3,5.645494775529313,0.5464022141273813,1.639206642382144
2410,140,2.906155097227821,True,0.984925237759003,0.11440817813312998,0.28837122338844956,0.0049764603831323004,0.014929381149396901
2411,5,-3.0114622600432615,False,0.7562743514563932,0.21656185606876394,0.3750347282455869,0.370914253453246,1.1127427603597382
2412,122,2.9608348874151935,True,0.9748699931635096,0.18161567808623336,0.35613831454137823,0.08062161078650742,0.24186483235952227
2413,148,2.917341505123643,True,0.9369733119464844,0.21738446317466392,0.9187324860448068,0.4249158341338067,1.27474750240142
2414,136,2.906873695815163,True,0.986372785104899,0.14633565908780832,0.17805858476666142,0.2956233936810904,0.8868701810432713
2415,60,2.9797665549997134,True,0.9797520792473179,0.02379085871562385,0.10462056275350204,0.30633306966114954,0.9189992089834487
2416,71,2.974132670351937,True,0.9499045752575593,0.1499044041663017,0.3336140621624692,0.009662415732810976,0.028987247198432927
2417,147,2.8998927138972563,True,0.989173806239592,0.08142329355934917,0.11649706464384225,0.03461121042041052,0.10383363126123157
2418,29,2.99620858524304,True,0.9311256291140861,0.19217990629396733,0.17813603894157978,0.32243295385424553,0.9672988615627366
2419,23,2.996741606827617,True,0.9289222930341812,0.20619070017041896,0.4135330854680441,0.17989276498858425,0.5396782949657528
2420,67,-3.118669716774353,False,0.9274675910193362,0.21064405846459494,0.7930409195108021,0.5162116381422208,1.5486349144266625
2421,3,-3.0028816652825094,False,0.5268702072793117,0.3,2.2963155180640507,0.3872691703184033,1.16180751095521
2422,15,-3.001149157099317,False,0.6638793963079935,0.2631741058520772,0.3245513245431732,0.36719469809297367,1.101584094278921
2423,146,2.9155987766087534,True,0.9537879688935956,0.14836754918217887,0.24028912026710242,0.019528218636943206,0.05858465591082962
2424,40,-3.0305035143548573,False,0.9475220805383359,0.22142894976992475,0.25063886934327295,0.6341290664607842,1.9023871993823525
2425,81,2.972220608615661,True,0.9652561190184473,0.20003570253118566,0.20065238550173312,0.10677814415685478,0.32033443247056437
2426,1,-3.0002507048141283,False,0.3,0.3,5.472426370466991,0.5526260558735454,1.6578781676206362
2427,33,-3.0071204984999467,False,0.8998483159011987,0.24968907948112626,0.2935514271734814,0.42105073039302876,1.2631521911790862
2428,202,2.800375282507778,True,0.9850951146446864,0.1096468653600424,0.5510209968013463,0.0194519292870603,0.0583557878611809
2429,116,2.943279793502791,True,0.9750272412356974,0.18409712428250732,0.23790119694547882,0.5531238536613806,1.659371560984142
2430,97,-3.050889612296863,False,0.9327621142173371,0.20247763890375858,0.21913859311218017,0.3154030207470796,0.9462090622412388
2431,10,-3.010898887893155,False,0.8467949453123511,0.24316911382366801,0.7367624929399677,0.47561435363097676,1.4268430608929303
2432,26,-3.010943281168622,False,0.9343991135150039,0.228713058454765,0.39415117755509044,0.4396500963113691,1.3189502889341074
2433,108,2.9374549372941603,True,0.9594385724419665,0.13302361904477666,0.8763354934610348,0.2285016410507116,0.6855049231521348
2434,230,2.758805893501481,True,0.9724226851884514,0.14693225623732495,0.16481921186035425,0.2543816606836792,0.7631449820510375
2435,49,-3.054422455021787,False,0.9542316805012212,0.230176920089183,0.24278701654081608,0.647899148267008,1.943697444801024
2436,7,-3.0140625736469273,False,0.6577846323534936,0.29999999999999993,1.1220848515787407,0.5842941523418224,1.752882457025467
2437,212,2.775003228604321,True,0.9885604168330874,0.11395878262664628,0.13940962543861554,0.2932180920645491,0.8796542761936472
2438,162,2.878921356178301,True,0.9665077318595274,0.13564001385711827,0.46827249545072663,0.33833579608147923,1.0150073882444377
2439,103,2.9445770112690424,True,0.983138218206446,0.11291523732216868,0.1056934061307805,0.0028992408581456353,0.008697722574436906
2440,1,-3.0004942644691384,False,0.3,0.3,0.17606240150000607,0.31085122520542413,0.9325536756162724
2441,49,2.9875456991155986,True,0.9393130364728169,0.21589798726666395,0.7254130531909696,0.5468988824384573,1.640696647315372
2442,151,2.8895119437469026,True,0.9823573391655281,0.12112879254458354,0.12530731080127488,0.22766327833572078,0.6829898350071624
2443,1,-3.0008713804990963,False,0.3,0.3,6.420333760077436,0.1858217020522052,0.5574651061566156
2444,1000,-1.7669643907240977,False,0.0,0.0,0.00609224579320898,0.09188640818489935,0.27565922455469805
2445,236,-3.290512605115301,False,0.9786736452974739,0.17839475472501268,0.2757677732329759,0.11153741777637163,0.33461225332911493
