,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_velocity,max_acceleration
0,45,-3.0396144786361177,False,0.9729006088634216,0.05078130412093884,0.18827610638439737,0.3,0.1
1,11,-3.0084930326393127,False,0.8766847468599882,0.13301841220553076,1.2730143146269475,0.3,0.1
2,64,-3.0441326906337527,False,0.9803589326630784,0.0818070939969436,0.08565528134915207,0.3,0.1
3,222,2.741711888767143,True,0.9940608813016297,0.09070255626651212,0.0903387682441039,0.3,0.1
4,127,-3.234733030450135,False,0.9862711798503617,0.15010937984965259,0.20266064898509725,0.3,0.1
5,50,2.98618480626754,True,0.9754179526028011,0.09841335885675757,0.156802182238651,0.3,0.1
6,64,-3.04175405485041,False,0.9792048624846171,0.06335362475990394,0.10835282358112645,0.3,0.1
7,85,2.960770809291177,True,0.9858539673448835,0.06762823073060982,0.11052334711984949,0.3,0.1
8,92,2.958573015325981,True,0.9866369496698671,0.06006743467301293,0.05720544874111121,0.3,0.1
9,119,-3.1175832750163317,False,0.9873480993423873,0.08961882975707738,0.09948508069462018,0.3,0.1
10,101,2.9458108993660894,True,0.9878295369240182,0.08538202246596228,0.14696093852388625,0.3,0.1
11,25,-3.0140983369751306,False,0.9480404843508122,0.13740169566194044,0.5780448775377116,0.3,0.1
12,162,2.868771351963075,True,0.9921347803267926,0.10721370620730805,0.11370464702953159,0.3,0.1
13,136,2.9284311696292438,True,0.9692087960798874,0.08358380713056936,0.13429421600163935,0.3,0.1
14,12,-3.0082925829525924,False,0.8883196501823413,0.19333966893218432,0.7370483769086279,0.3,0.1
15,69,2.9756166775294615,True,0.9796850342114787,0.10244115099916037,0.15250326953238005,0.3,0.1
16,20,-3.0116243960821407,False,0.8876229858646726,0.18380503933947837,0.500639043632356,0.3,0.1
17,166,-3.173862364772155,False,0.9919438303995185,0.10449029076844457,0.10792269692027459,0.3,0.1
18,69,-3.039674371895498,False,0.9799887209427145,0.08752999780643295,0.09395559139723748,0.3,0.1
19,75,-3.0813827201118515,False,0.9820473112367527,0.09359671845492316,0.11488813084270312,0.3,0.1
