,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_velocity,max_acceleration
791,59,-3.078167611487276,False,0.9205223426683976,0.1897463620101606,0.2626174845335757,1.8,0.6
792,51,2.987023162446421,True,0.9718180785940126,0.14367087382694874,0.22903626637062482,1.8,0.6
793,65,-3.127615428800262,False,0.947643574046243,0.1228595718348324,0.1797275106174765,1.8,0.6
794,7,-3.0045902320498388,False,0.822027861315431,0.2881010023730271,0.35043892288536493,1.8,0.6
795,33,-3.0298426189870593,False,0.7864714900706613,0.27951758835895396,2.2851826291846553,1.8,0.6
796,47,-3.0101300174004395,False,0.9631156417067086,0.16426486741965318,0.6604803130143783,1.8,0.6
797,98,-3.094558584022093,False,0.9855341323426314,0.06540549387189823,0.12223792395649974,1.8,0.6
798,15,-3.0097337516375764,False,0.9174355937138834,0.2081012226919064,1.000465387171956,1.8,0.6
799,1,-3.000840804046212,False,0.30000000000000004,0.30000000000000004,3.646434119840392,1.8,0.6
800,80,2.9664112811897576,True,0.9813456583316336,0.12476365452875234,0.590662440624851,1.8,0.6
801,131,2.9107299613254027,True,0.9902912144316729,0.040743529682192886,0.11391589959748323,1.8,0.6
802,71,2.973396020246205,True,0.9812166816753051,0.10755487293140427,0.6212923147373669,1.8,0.6
803,138,2.9029253516890474,True,0.9788392069577161,0.1142323956288034,0.3976121095903721,1.8,0.6
804,11,2.9991530006999065,True,0.8867173344665594,0.1596795237100102,0.7611251928799124,1.8,0.6
805,11,-3.017866291468592,False,0.7474515159522852,0.2546608398576092,0.7711973358393684,1.8,0.6
806,60,-3.0762995369497785,False,0.942427730838948,0.1184405599241052,0.1802437767110813,1.8,0.6
807,106,-3.11037195547578,False,0.9817958593262086,0.16369983530608243,0.1637657268562155,1.8,0.6
808,3,-3.0008507681044767,False,0.3666343346421496,0.3,2.6007995388469176,1.8,0.6
809,117,2.950849229414676,True,0.9127928475329495,0.19041063078793066,0.2955334594026575,1.8,0.6
810,3,-3.0056670085414225,False,0.5894074343250829,0.3,1.411219420839504,1.8,0.6
811,11,-3.0013181577166566,False,0.8684708279493745,0.17585934973785874,0.6109838391088229,1.8,0.6
812,11,-3.0189179194954345,False,0.8461307461071342,0.2800376852312103,1.4010788128498355,1.8,0.6
813,91,2.9552181856830293,True,0.9762050971152527,0.1444503432542658,0.1519452124264672,1.8,0.6
814,32,-3.031469969207421,False,0.9424927690774976,0.2406275569581796,0.3583390111689364,1.8,0.6
815,90,2.959809541653541,True,0.9820392888254725,0.11736694129671497,0.11393125429887553,1.8,0.6
816,108,2.9421816488194135,True,0.9833391688441772,0.1045879765760354,0.0998292451115933,1.8,0.6
817,144,-3.1756393438495274,False,0.9668916808476798,0.15036602917174513,0.5198760129186003,1.8,0.6
818,57,2.982657016474716,True,0.9651035982217874,0.15579349311154236,0.1376858642792121,1.8,0.6
819,115,-3.0777392147473335,False,0.9697182089947917,0.20243582666347684,0.4140522800212939,1.8,0.6
820,62,2.989088474590505,True,0.8998681520469145,0.22930973559084256,0.43564665936089214,1.8,0.6
821,115,-3.04451152762329,False,0.8193107399672601,0.2537189875386831,0.6580103784933687,1.8,0.6
