,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,separation_range
5475,92,-3.04944877509362,False,0.9687879685926626,0.17473098533169443,0.18288390912115365,6.463050528570444
5476,207,2.801792224586828,True,0.981639283344841,0.18783437646051948,0.6933715038278552,34.43387593713166
5477,1,-3.001727452719413,False,0.3,0.3,4.884779153218775,3.4569093501502346
5478,58,-3.1221116387479566,False,0.9025934918892173,0.2361261883834796,1.889417205221205,3.921421712980706
5479,12,-3.0202768977795564,False,0.8166261156117521,0.3,0.3917393358026555,1.3932638290500288
5480,52,-3.0049128731833674,False,0.9338411234523879,0.19888202948438385,0.4123998350164509,27.574119150203515
5481,68,-3.0817471505280216,False,0.9634587815220037,0.2235744400766409,0.2393152383405318,12.243811591844702
5482,89,2.958128217301167,True,0.9765786607531817,0.12229681080134978,0.1754322451651959,1.2977532937029457
5483,17,2.9981631245057097,True,0.9210443811284487,0.15585739885559158,0.18819705295420788,15.934138014514767
5484,222,2.889741598579337,True,0.9683100140037977,0.20122491689334732,0.4711361920917278,22.490398837711723
5485,151,-3.2372743919869817,False,0.987190873178423,0.14705204844522574,0.1522116124674255,1.6302448704379557
5486,159,2.8729122138365883,True,0.9820427021509802,0.1850846426087338,0.21366898615025592,28.31597033799353
5487,1,-3.0003324039658588,False,0.3,0.3,0.24752634758592418,21.25965715960821
5488,210,2.855528703033012,True,0.978137314818979,0.14640764219687616,0.24385633622736877,14.82753502016263
5489,161,2.8698133556702907,True,0.9815363012475165,0.15004168594576672,0.1599517456344509,11.813247776650368
5490,4,-3.0081660435696653,False,0.6895473043821192,0.26539715873057046,1.522655891213232,27.52730898170079
5491,158,2.9367483696294494,True,0.981197569038936,0.15495325675519384,0.6372558148624817,19.357156746340927
5492,1,-3.000311058472055,False,0.3,0.3,0.5207398981755313,17.88727607181498
5493,143,2.9026458707666545,True,0.9652006652475074,0.20734453301125216,0.2451016155317813,26.64748879512075
5494,218,2.7816240787147946,True,0.9638768215125372,0.18245545593649923,0.21914549273686332,24.111818765977006
5495,1,-3.0010119029543874,False,0.3,0.3,0.21571314586694923,21.084665565590882
5496,153,2.903246688669432,True,0.966357898018097,0.17378830304118276,0.5468453983613378,18.283136022324253
5497,107,2.9477577734777123,True,0.9789269772426257,0.1703462398208331,0.16884840414359578,11.431250451981967
5498,175,2.852078799187794,True,0.9789250602402861,0.14001037161418783,0.9382343611145453,13.168843250662444
5499,101,2.9458464550193812,True,0.9826775074484245,0.16476607244081384,0.17519667203115233,17.187702837723865
5500,217,2.80544292754835,True,0.9640069833473436,0.1997496518735283,0.8598441373508288,12.246201251912554
5501,225,2.7953012963668384,True,0.9691106664175492,0.194105344362378,0.9981918907621044,34.64040773669312
5502,124,2.932208192733258,True,0.9727504954777796,0.1790587531430238,0.6002953836134975,19.014152370005668
5503,111,2.940415513987288,True,0.9759978770753682,0.16999612099483377,0.20962524832285334,29.12680085235288
5504,79,2.972321976608446,True,0.9436453589404352,0.1857588756802013,0.9298047702364506,2.6294740738142597
5505,1,-3.001057080437201,False,0.3,0.3,1.135526750309905,17.96257333162758
5506,62,-3.0195426018306066,False,0.9586853885836857,0.22841866541485709,0.22489501170283308,31.243660217562997
5507,82,2.9639989571881054,True,0.9812256691255904,0.11617774897930018,0.18767548817897767,5.198060803836784
5508,34,-3.0134804513259934,False,0.8845297017843956,0.24840444536923306,0.26642988839451776,26.912008807570015
5509,14,-3.0022244363603767,False,0.8944667049504932,0.1757670335592689,0.6373518805386303,6.659420230209752
5510,114,2.9421608935733765,True,0.969131094058892,0.18005220839152208,0.2423440725841342,31.635883561786883
5511,117,2.9304044353623926,True,0.9798577650777425,0.18222803284114594,0.2346118273100636,9.825470684156397
5512,152,2.9109573556611417,True,0.9783610162577142,0.1534292126190492,0.1566457452496747,20.463441690886633
5513,88,2.9609943618188295,True,0.9835738277800562,0.11998038653035065,0.12594436580237858,9.857364697652308
5514,102,2.948594024771963,True,0.9697374618047059,0.14675775150453668,0.15831302057492025,7.18646787480814
5515,111,2.9392177925391865,True,0.9821183344518523,0.11188467146968013,0.15419440512463878,7.792091968112924
5516,79,2.9836534543011957,True,0.9139954760642587,0.20825128399450213,0.4991147909286914,6.197500773969162
