,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,alignment_range
4112,151,2.8802267954700413,True,0.9811020321768732,0.10870687200393968,0.2657689454277489,31.40577134880339
4113,100,-3.0735141673673425,False,0.9721843667994389,0.1442969496177646,0.18439558194655603,36.73779111777111
4114,62,2.9788429882769045,True,0.9575660517772666,0.1379903761345342,0.9209142780145811,23.034389874999416
4115,39,-3.011380960181072,False,0.9398061777574114,0.20752877878068937,0.3420699802109395,16.95292427554066
4116,170,-3.165751600133702,False,0.977972586220826,0.17812783965675724,0.2055531329968959,28.21697162733653
4117,273,2.618789406095562,True,0.9838436145983773,0.10541324115163768,0.10936060477621304,10.557234097100219
4118,133,2.9057221519391168,True,0.9877058332872329,0.10509440966290928,0.11055629650426008,31.316361618463738
4119,61,2.987538021755383,True,0.9598288444587443,0.18287561588361798,0.19240943243580214,13.103517350505909
4120,22,-3.0178768100774107,False,0.8849301386526524,0.19031783722299958,0.5193435420887021,35.29359955442294
4121,191,-3.1930736393573866,False,0.9611094831402922,0.2019403750881864,0.2413182706900515,35.86090600008222
4122,73,2.9707295001338365,True,0.9792541197612926,0.15415226679065652,0.20934322836561878,24.646994779876373
4123,48,2.9878224866170595,True,0.9623070946947867,0.16391823853677076,0.1883793904685739,3.7566578727041477
4124,1,-3.0009918163843268,False,0.29999999999999993,0.29999999999999993,7.011024830011477,22.672212261016703
4125,118,2.927532541924373,True,0.977160685559234,0.18884156963625504,0.33578858210658874,39.52165684182897
4126,31,2.994463137492567,True,0.9067758405220883,0.1957877628970225,0.3822221196172405,24.951581189625024
4127,75,2.975171927697042,True,0.9310922621546177,0.23072064753687088,0.2508143266230271,19.018827328646775
4128,205,-3.1906385421846974,False,0.967875271424297,0.1732798319869161,0.17022334265844136,36.53221401972242
4129,123,2.9215782869073883,True,0.9815428737277113,0.15925907550177307,0.19885901179217913,32.31040247400401
4130,106,-3.1318237178654433,False,0.9705789759526765,0.1276680669358546,0.15525678511640484,25.831887938952917
4131,43,2.9893356741672497,True,0.9701573521451511,0.04298580718619312,0.13389579232119966,1.740048709785782
4132,131,2.9110001034386483,True,0.9793741632470314,0.15377960575509028,0.1549366565026252,5.126785394362856
4133,138,2.9089101184367263,True,0.9804054050645643,0.1454555789671262,0.18759530768215044,1.2846396336984123
4134,16,-3.005307711736312,False,0.9118895867485338,0.16879619723198847,0.5779201407665127,18.847895314743734
4135,74,-3.016713651208942,False,0.9268333729519572,0.19612593973254347,0.21708691794457918,37.88839851294338
4136,43,-3.0116530604407075,False,0.9327613366682868,0.2042071827047881,0.32572093969566857,24.17058276512858
4137,76,-3.0448124360501785,False,0.9804738794631147,0.10678210557214884,0.12481006943032762,11.152858092988925
4138,83,2.9677817455827595,True,0.9390775984991993,0.22919118714135434,0.28164891391180774,36.17499523369261
4139,1,-3.0008022664239733,False,0.29999999999999993,0.29999999999999993,7.649278807485816,32.02351673088291
4140,71,2.9744944755803573,True,0.9485251672872917,0.19630942920334887,0.43435456322793214,23.21963089295002
4141,44,2.9890809301612222,True,0.9614759912622728,0.168054628550296,0.44899635374787544,1.209368934031394
4142,107,2.9374359888357953,True,0.9871876184037307,0.07878033704144168,0.1251720219848416,5.017260461840052
4143,148,-3.119471591385812,False,0.9859617615984907,0.1224484554754874,0.1606089999687187,26.480678305710597
4144,122,2.9215255077043443,True,0.9823354105353952,0.1387519138754055,0.18314542665646444,16.116254310219116
4145,23,-3.0124239828380364,False,0.8739169956296434,0.2555374588740558,1.362589663150603,21.94294726290057
4146,88,2.961858326553351,True,0.9482316864593181,0.22675565780724638,0.23332560385690612,12.154407060508108
4147,128,2.9261719552629533,True,0.9681480761445014,0.12437357172079104,0.20135473554372038,32.60577535357275
4148,61,2.979391525268527,True,0.9761686220124238,0.11638712328565701,0.14074920970998425,13.553882020581787
4149,127,2.917417091685106,True,0.9657489818837974,0.18455006908005486,0.2803675566630617,23.088190425275947
4150,171,2.8539454849601023,True,0.9755731632730441,0.1463115476546223,0.15302036860694915,21.755789307305005
4151,47,2.9873581996340484,True,0.9734600458634559,0.06801035671213075,0.16188956085340248,20.37585806294143
4152,219,2.756029559666029,True,0.9884333354177061,0.09635504576935061,0.20522813399573636,32.83620270290308
4153,106,-3.0933369627555574,False,0.9557300170791989,0.1662876778575741,0.1736243003959186,28.353915791796084
4154,40,-3.0593705585072093,False,0.9492565488567711,0.2116336750648428,0.24280944690115058,23.283133702279567
4155,10,2.9992756452899423,True,0.8743344301349744,0.13572522154509406,0.1514026096873624,6.382785039335048
4156,98,2.9484588614235387,True,0.975301254980305,0.13836512420983982,0.2669032066913125,10.56314536576668
4157,150,2.878255360918607,True,0.987671700893097,0.08893546386094361,0.09622948845290752,28.345244621868304
4158,50,2.9870955317910997,True,0.9579270717086054,0.16996726371354767,0.18509039993654564,6.044849370104131
4159,17,2.998148248201524,True,0.9236367596782336,0.15011138253671866,0.1478787230925132,22.4453776293905
4160,61,-3.0376341148956274,False,0.9559037793680668,0.20883542483447282,0.21054070493098367,14.472097342230118
4161,67,2.978891764201458,True,0.9723718629834567,0.18212393576502134,0.24212371369197566,11.700890375262407
4162,56,2.984403881624994,True,0.923292090186009,0.22211816005625876,0.2934178967942066,25.797881619815108
4163,170,2.865173433845861,True,0.9707051085101923,0.17331455631817635,0.173967693765351,38.83019585755622
4164,183,2.820127844125433,True,0.9932681807041782,0.04701798523923406,0.06790347701372729,0.442692901628261
4165,164,2.861267193748408,True,0.9653152241245087,0.18693576601933867,0.20006798355391855,31.57740731224484
4166,83,2.9628223485840466,True,0.9771093176006581,0.13135160849666688,0.14505045778597214,38.08686020323685
4167,15,2.998551804766791,True,0.8743918806094026,0.2205670102076489,0.21212545744650893,30.778609471269945
4168,88,2.959478449208012,True,0.9607643857717398,0.19915006276996844,0.2114123835617563,15.080530453447851
4169,202,2.7869638479658314,True,0.9833302458000285,0.1445158104874885,0.1431074745640515,15.313711302879236
4170,125,2.922240374396655,True,0.9757740733101327,0.084998722844966,0.14010877942931368,11.740969726211876
4171,81,2.966105495845527,True,0.9503072981976664,0.21070270390225285,0.20906234372759905,33.18169661396582
4172,6,-3.001908902506449,False,0.7979700343026952,0.22677388537706458,0.2915219037938062,1.3009875332795362
4173,55,2.984145996768612,True,0.9674146796866329,0.17995859686657154,0.4883203510415786,3.035569174748569
