,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_velocity
2357,76,-3.0324982687525304,False,0.9455320824926116,0.12889294250694222,0.158612174734028,1.2262731456689835
2358,122,2.9258339339831148,True,0.9834129367422346,0.08548082216063708,0.10389473032440612,0.5719531483562517
2359,134,2.901786440404943,True,0.9907841298020165,0.07524838221980608,0.0693350411442356,1.553273911663327
2360,43,2.9920887639036127,True,0.9447400528790387,0.15906719669380565,0.22073825451966325,0.860488642289956
2361,101,2.960031931618396,True,0.9474491784667766,0.11193445969789256,0.310153750502535,1.72850345080282
2362,88,2.9612640911779247,True,0.9787794756790498,0.10655510945393068,0.1691056836829166,1.7009424183442108
2363,132,-3.22556174001656,False,0.9886768710462254,0.049073915444864,0.06179900924926991,1.6840026727111626
2364,168,2.8497862778255194,True,0.9878830224808453,0.06681595097360182,0.32191698585200806,1.8411318711358036
2365,37,2.99206999797209,True,0.9582918744861563,0.16139920269052474,0.23736686225880074,1.0127710441789772
2366,2,-3.0025847033145037,False,0.4356273611385941,0.30000000000000004,3.769304329575706,0.23868787490659926
2367,53,2.9854148696088125,True,0.9401796181816751,0.1823180364420415,0.2669010046908105,0.40165039187026763
2368,7,-3.0091435271444498,False,0.7475604445473853,0.2943788789459953,0.39671261253239337,1.7426836204456757
2369,122,-3.0752670455511897,False,0.9635030365183292,0.11337377130513443,0.12379497811861195,1.130650664522314
2370,108,2.9382039914290736,True,0.9844396994935153,0.11244497717642966,0.14381794650190913,0.22105841476636767
2371,42,-3.0219900664392783,False,0.9287426460193542,0.20128691662591006,0.25621576637624477,1.8969267339759543
2372,52,2.985385473194768,True,0.9623744634523123,0.1943529022062202,0.2532936649484779,0.13616883175307337
2373,2,-3.0024365103383235,False,0.22288130417971905,0.24184600412845608,2.847962663084572,0.6376736496297044
2374,34,-3.00488183369983,False,0.8287119405973793,0.23316082201482133,0.5411007964527164,0.6913901421801065
2375,74,-3.0533270482277315,False,0.9794633734743812,0.11701843177795776,0.1260434667744083,0.6725965173427209
2376,27,2.9957337277791316,True,0.9491155904512901,0.09870295914299243,0.0811237407817629,1.9628224347564258
2377,71,-3.0863841836727772,False,0.9717973393952409,0.1323982902299339,0.18987327237528223,1.6517641623896688
2378,18,-3.0315722768020565,False,0.7318815155981109,0.29762051114184823,0.5124263969727907,1.9250539019163426
2379,55,-3.073369975554232,False,0.8875152850308325,0.2457764922539006,0.5337420272690752,1.4605833971599045
2380,67,-3.0879143762507626,False,0.9614745334688202,0.1397091170894861,0.1915846946847615,1.9844314360101385
2381,31,-3.008774296127059,False,0.8535450179043232,0.280396706963838,0.43257458941607785,1.1167280998453342
2382,161,2.861074970863225,True,0.9770988439237017,0.07441720026114945,0.1294298332812603,0.5595333801246034
2383,40,2.992282204478817,True,0.9073200322567903,0.25220776310772247,0.8760747239474529,1.2381041006332076
2384,17,-3.0282341827657175,False,0.8908829237331422,0.2824057581199107,0.5909279078633347,1.3405441905485542
2385,71,-3.0689459471064717,False,0.9745932917419707,0.14192581427067733,0.1778168804435512,0.8463229749475156
2386,103,-3.0321547020993624,False,0.8088775626399438,0.21902211961215168,0.4274865423794244,1.6487019147693094
2387,95,2.9572135081530018,True,0.9222500895321345,0.12926987354585384,0.23499736930112572,1.249391086875616
2388,1,-3.000328451295942,False,0.15352056920528412,0.15352056920528412,1.908790043349866,0.19285892258460735
2389,13,-3.021497137994629,False,0.5930730101948807,0.2793131537347754,1.3163287662791996,1.9771307638914237
