,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,alignment
2863,166,2.8820642855934633,True,0.9829411032020163,0.12180705739275256,0.16126697785331426,9.305235303082384
2864,117,2.9321541911196385,True,0.9762069675876182,0.12282584938971447,0.46057132177192217,9.467115333412936
2865,37,2.9922551782135574,True,0.9672334566633327,0.10241218589698349,0.12115837412187669,9.367128176431303
2866,165,2.877970114965161,True,0.985431215524967,0.11688755763881785,0.37773252423195103,3.361733691754638
2867,42,2.9905237356234102,True,0.9678136274706185,0.12046951738852518,0.12439393746473656,8.06132996949925
2868,39,2.991826991956475,True,0.9608956539643287,0.21082946145967968,0.792720169213365,1.4542859847623857
2869,174,2.8447677408874013,True,0.9889516551133767,0.09437461351215128,0.1221836597929763,0.3237306483536939
2870,2,-3.001333335913581,False,0.4478911706167559,0.29999999999999993,2.8506271560942915,6.374900199983742
2871,1,-3.0012422460210346,False,0.3,0.3,0.8949880952979957,0.05827745369859083
2872,143,2.905801354210804,True,0.9638604688212922,0.15376358124630674,0.16377665840557978,8.083398407652503
2873,48,2.9893592544285736,True,0.9241747209715588,0.20900039120858882,0.6134954235705142,2.8393865953562756
2874,64,2.979809332710492,True,0.9561582666540636,0.20030910780278124,0.19972509240868722,5.238428538887235
2875,65,2.98086377297436,True,0.9621688240185117,0.14895793240501037,0.14799135629564175,7.797216014735351
2876,204,2.8043011504237376,True,0.9777127496959133,0.11653405072893944,0.315788000006719,3.9813050734803133
2877,11,2.9994148942477854,True,0.874895308816539,0.2811024566610683,0.8424485759200867,1.2435721450570891
2878,133,-3.119608320182098,False,0.966196005424864,0.17051804540807294,0.21908510517173915,3.907301060536067
2879,144,-3.104750730696173,False,0.9748079424721787,0.15347707616426803,0.18632044952254115,8.911203711632169
2880,162,2.89121396011943,True,0.9701146710670218,0.163611852489096,0.2020142278093905,8.070328180552524
2881,71,2.9795359813936546,True,0.9608613173175109,0.182163601173368,0.7452310646689018,4.489692385289245
2882,49,2.986782126738431,True,0.9594360718567303,0.13127679802569514,0.23614053114355957,5.673570524284753
2883,116,-3.149211105076872,False,0.983139989745258,0.13539697643986745,0.1429795593071089,3.00606678520655
2884,49,2.988933272444837,True,0.967608586286921,0.1584556690975045,0.7514158841735347,1.321613015102655
2885,93,2.9538380134427764,True,0.9805711918461606,0.11165264875095483,0.3217104276728551,1.8684893240940015
2886,46,2.9883960594743737,True,0.9654117442809438,0.13963379310603585,0.13184854102322505,4.051775012234517
2887,59,-3.0524229905645233,False,0.9539896807820722,0.21387067970007503,0.21329361243878908,6.505864967513349
2888,185,2.8706055450119248,True,0.968420344927531,0.17649498729082103,0.44770706022867696,3.470350819167094
2889,78,2.9707989795630425,True,0.9755841397031907,0.15710797005665458,0.1778590333007818,5.132268541955582
2890,43,2.992249809658946,True,0.9058907937788659,0.16389166232349658,0.810419434685857,9.731063766781947
2891,139,-3.091607734290133,False,0.9481251927023082,0.18904800762143928,0.22712968513603118,6.26733252782962
2892,102,2.945190994687974,True,0.9812390953978469,0.06010620143309582,0.10818597217941779,8.08951343557837
2893,137,2.903767148810459,True,0.9815008607028555,0.13645088982532116,0.8629459663071817,0.8563085870914344
2894,1,-3.0007772683413427,False,0.30000000000000004,0.30000000000000004,0.8114536472500777,3.0415188994312703
2895,143,2.9169289531670786,True,0.9307093996286935,0.24020629538812002,0.23011509222790613,6.845211287161157
2896,69,2.9767569984342597,True,0.9606634024455469,0.20970827584960858,0.2776537092773605,6.492595249752854
2897,29,-3.017136486434681,False,0.866805819562099,0.22784196554791272,0.3900340010981069,0.6626253373201785
2898,211,2.8015138279566334,True,0.9836612642150943,0.13155918682973516,0.5437174870779867,0.7862989330427217
2899,112,2.9704418951422147,True,0.9566555603027307,0.19556876091471628,0.2787442580045076,1.9965370750715972
2900,51,2.98834172600565,True,0.9685213239855557,0.1189530972168812,0.2395496655157591,9.707049773879511
2901,54,2.984997284545989,True,0.9603613980244574,0.2127755670812519,0.3285059577245275,9.6139914759058
2902,37,2.9928847885524847,True,0.9587773415207845,0.184414039905019,0.20767353002784272,1.9434250282292587
2903,145,2.888805109654393,True,0.9876002111410064,0.07026288069971497,0.10078638222128525,9.342062223393999
2904,1,-3.0010119224372134,False,0.3,0.3,0.34648826156400836,9.569161535244973
2905,101,2.9468777629844674,True,0.977614828683902,0.11114396659620321,0.15662840569273034,5.652119773189108
2906,142,2.894741521413085,True,0.9878747363217396,0.09269722175118884,0.10541218412877826,7.579966647658507
2907,220,2.84000817977842,True,0.9802109637004135,0.16493611691162197,0.5179754353284216,7.59937018516715
2908,209,2.858786745736471,True,0.9674770766166464,0.1595022975434416,0.22597722983523916,9.138421310025779
2909,79,-3.033470537747365,False,0.9536057579887055,0.20995232235705924,0.26718826817143065,9.323577570423133
2910,35,-3.0274545045035874,False,0.8903422082420165,0.23874688374353426,0.3605490542206201,7.087161709054865
2911,131,-3.0829141789907495,False,0.9863645244039299,0.11854823961179464,0.4779400969557429,8.703301916575025
2912,102,2.9458570310945715,True,0.9652807166883127,0.10246579121874323,0.2813072887118154,6.930694937588155
