,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_velocity,max_acceleration
0,21,-3.0243448906037202,False,0.8131785221211132,0.24855705097483533,0.5385123963243468,1.8,0.6
1,212,2.770769277648338,True,0.9909297470887312,0.08910546721323148,0.28742486420920016,1.8,0.6
2,3,-3.0062715732476475,False,0.286797094732885,0.19999999999999996,0.9825621454048475,1.8,0.6
3,3,-3.001591965931137,False,0.5918334659084089,0.30000000000000004,1.865154877166099,1.8,0.6
4,118,-3.09082971708001,False,0.940192969812613,0.1590105015709713,0.1704335456118951,1.8,0.6
5,43,2.9899301282859576,True,0.9591737548090477,0.16367251273060252,0.1734374298134339,1.8,0.6
6,1,-3.0009818459232536,False,0.3,0.3,6.487003056526952,1.8,0.6
7,46,-3.027580501102642,False,0.9529651549553825,0.21097104049400775,0.3454435296036154,1.8,0.6
8,137,2.9017564261611484,True,0.9880907396143959,0.08350596334964137,0.09132583869449386,1.8,0.6
9,65,-3.1114350102981057,False,0.946811498463954,0.19692597942102436,0.25819359625327176,1.8,0.6
10,174,2.842613005599568,True,0.9858036912704241,0.1240043417354775,0.3451502128603431,1.8,0.6
11,9,-3.0171124833454877,False,0.7480291917136168,0.22439087739736185,0.5412033509462366,1.8,0.6
12,54,2.9836790898163943,True,0.9737127159201996,0.09422259390823827,0.08539360228892069,1.8,0.6
13,80,2.965503926807981,True,0.9814307149937729,0.05366441715353796,0.09383304044794276,1.8,0.6
14,9,-3.016640985106366,False,0.0,0.0,0.005112705965251632,1.8,0.6
15,110,2.9507930305267935,True,0.9656035418913588,0.19745252330324942,0.2499060576605002,1.8,0.6
16,1,-3.0002089736851842,False,0.3,0.3,6.3324157540767345,1.8,0.6
17,110,-3.0621189688034565,False,0.9100594404599266,0.20299121232649894,0.3107322231648784,1.8,0.6
18,3,2.9999278794094923,True,0.5256376670720599,0.3,2.2724833509387947,1.8,0.6
19,81,2.9652990960733137,True,0.9837341719563838,0.06863983744613074,0.08869319128568563,1.8,0.6
20,64,-3.105963465933271,False,0.9704238756472491,0.16371100886651807,0.2187338118190479,1.8,0.6
21,104,-3.1386775244014378,False,0.9837103254299945,0.12325109542041632,3.993626383480891,1.8,0.6
22,42,-3.0435610582178536,False,0.9564440584078817,0.18481442278532384,1.335702078679629,1.8,0.6
23,255,2.659697778578117,True,0.9905011582209353,0.10692709261048369,0.1071140717156655,1.8,0.6
24,106,2.9424975716601134,True,0.9683259116072793,0.13400976045748422,0.1323957026464019,1.8,0.6
25,64,-3.086134283210648,False,0.9666755713039437,0.1501046489483856,1.6300963569204634,1.8,0.6
26,40,-3.0340282217925103,False,0.9482371353942464,0.19296116392817006,0.3223692745106722,1.8,0.6
27,23,-3.0216228324248102,False,0.9315780556709011,0.21020274917301843,0.38991649429779857,1.8,0.6
28,95,2.9535911231804626,True,0.9831619707121237,0.05557079564151152,0.04936427678257304,1.8,0.6
29,26,2.996338210110342,True,0.9249301080713581,0.1395793797595639,0.15606422463894593,1.8,0.6
30,28,-3.0296643555172653,False,0.9348838787258815,0.17134011360758428,0.31238836240747514,1.8,0.6
31,94,2.953525751805052,True,0.9862710645121544,0.15720902005575463,2.5741528757451215,1.8,0.6
32,37,-3.0269229155473583,False,0.9598464855556119,0.16388571940403435,0.26450901473854754,1.8,0.6
33,170,-3.191832627702726,False,0.9910761502536424,0.12062652096353998,0.6879178766984942,1.8,0.6
34,12,-3.011760955345553,False,0.7287819880790521,0.24097331356977292,0.7125323186186655,1.8,0.6
35,47,-3.018799372014074,False,0.9232943630222535,0.22293506835152815,0.5375431726418459,1.8,0.6
