,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,cohesion_range
847,11,2.999213313900163,True,0.8626195953768431,0.14846322518316113,0.2569847300532819,13.368526229674277
848,77,2.9701700104504822,True,0.9712881195185831,0.16081089832851758,0.47916021995625613,35.51205738363652
849,13,-3.022162681753967,False,0.8272479465535996,0.28351671922267824,0.7204273528292439,18.2973193285271
850,57,-3.1049364177411856,False,0.9709534903578385,0.12945794661959206,0.15535801423630397,30.68003976422059
851,93,-3.0967626765785,False,0.9768360596506906,0.15053582331247103,0.1680591967161513,38.962290724366184
852,1,-3.0007867679080142,False,0.3,0.3,0.5685547085057343,5.4743100389226695
853,80,-3.0399135905223122,False,0.9504123472319941,0.22678853203668542,0.2357721856272647,4.171235278511873
854,70,-3.087713165455332,False,0.9464872093235114,0.18392328249953468,0.19773640381105267,34.619505470439194
855,38,-3.021552649213559,False,0.9516621600323183,0.20904492462301413,0.7811037070401025,21.142480434328903
856,101,2.946001532823045,True,0.9702005872629577,0.14958664075750147,0.22821763170146864,29.11807397698172
857,114,2.9330982318729326,True,0.9696461405442095,0.18119364423901385,0.19791991576555948,11.984334567340088
858,83,2.9635206560701786,True,0.9639007801773102,0.11253392421369317,0.2739816458121886,4.164291684393819
859,149,2.889921544396398,True,0.9642826991751874,0.17779107703626598,0.23098509172320386,9.264540899408772
860,70,2.9758024497564843,True,0.9709442228216649,0.20758876798019685,1.4104586017504073,8.187569376277795
861,90,-3.120342777178097,False,0.946161703940208,0.16827816065119772,1.1659895936187585,23.847326474149156
862,95,-3.146852731780897,False,0.9537238252227203,0.1542779888335352,1.0865130821702271,33.177563335693314
863,34,-3.034926357942204,False,0.9196930233614147,0.1858782630222004,1.0510725307312097,19.870252479161742
864,67,2.9762833725230786,True,0.9652393901884274,0.1745069984175808,0.17167302538306925,12.199229561440305
865,9,-3.0084048345270378,False,0.8437096624150395,0.22067829067038303,0.6307820228489184,35.440121859642296
866,71,-3.04932756225862,False,0.9756188516194486,0.13264325180402528,0.1531045259875318,28.171745752370615
867,32,-3.0086164546057526,False,0.9002746871280635,0.26101465829866005,1.718958119702426,6.654186074836628
868,163,2.8675636189056948,True,0.9673381678720949,0.13162669255561663,0.19912113905416143,8.121371784535683
869,96,-3.099863094764591,False,0.9754604590778336,0.15067493243296054,0.17858577973139478,31.378784869625854
870,137,2.8989429720649427,True,0.9899718062710144,0.08937276445067219,0.11643554296632888,39.08301876782224
871,44,2.9890932521888027,True,0.9370821630596731,0.1818238227471359,0.29400542983848893,19.617534941006262
872,126,2.9188305957634757,True,0.963885122107694,0.16527958715249924,0.15583242842087214,31.82126964421954
873,80,2.968894695414995,True,0.9542785374895908,0.17370175174796784,0.3042769032530713,25.56724456953987
874,47,2.9878973121963304,True,0.9675295040839546,0.1569940974207542,0.14530232191366177,3.2327424046872055
875,191,2.8054905906697276,True,0.9894991762289224,0.10326403368238207,0.12190455129216698,32.68761997327659
876,73,2.9712528927365334,True,0.966233190128875,0.1568094181066792,1.8267475884774689,22.114625889708776
877,60,2.9817074762705404,True,0.9741222908479367,0.13764480610666793,0.3531705358182171,17.210614565180713
878,2,-3.0015071531826165,False,0.24107447393537948,0.2161358386278152,1.7686886180332795,18.656338178500054
879,19,-3.0217296773933295,False,0.9142271556813565,0.1895936301344051,0.5642265961761425,19.135526682815055
880,95,2.951618771432386,True,0.9840762254100286,0.11871676870934082,0.15899454233774507,21.70645500981628
881,35,-3.008242205545599,False,0.9338607613145705,0.2285940885832429,0.3601540964043943,3.534474981723843
882,73,2.971139861955567,True,0.9762080301264657,0.1424215784336979,1.1972003254424988,5.642803681770139
883,164,2.857368202879565,True,0.9878934801099962,0.13019015582344742,0.6196868003245667,14.745201222116728
884,15,2.998622673226081,True,0.8465322451706395,0.20681305912597459,1.0923043086443949,17.010639184898025
885,114,-3.1092693558105404,False,0.9431362132143644,0.1893263784798933,0.2234874761273949,2.0982594083220896
886,84,-3.0908268651845514,False,0.9526210950448188,0.17114589267294242,0.1803120938960666,39.69486362861912
