,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,separation_range
5084,153,2.8846101433707756,True,0.9715615642531488,0.19799292482125644,0.23255452698371118,19.253274383287952
5085,186,2.814478309882185,True,0.9908732792556975,0.055970059365866645,0.09243916301070579,12.612775098652985
5086,145,2.885488251272949,True,0.987580989935234,0.06096272752214102,0.33446591846614737,4.588706401675915
5087,98,2.9510814706487656,True,0.9406787876025315,0.13039005873119255,0.2137757323509027,3.2035975124865734
5088,81,2.9657679890367414,True,0.93630417656306,0.19788017442718325,0.2468843818527193,10.754101513102468
5089,52,2.990769507755945,True,0.8896761663298844,0.20381006594942636,0.2884181525680605,6.490092958359415
5090,45,-3.018161983047479,False,0.8616459872367295,0.2092865731508737,0.358223775951327,8.01693673418204
5091,89,2.9581964221234807,True,0.9706027737735817,0.14012175919764538,0.21059530535458026,12.04000098874908
5092,1,-3.0007084026890807,False,0.3,0.3,0.40013894469602385,1.2287479445981786
5093,42,2.9897830992263543,True,0.9671302204138237,0.06635165414035427,0.21475927850058196,2.506896053763392
5094,106,2.94237040280437,True,0.9693746213373623,0.19743186091152443,0.6837386987095329,16.17728198891012
5095,100,2.9465414169865443,True,0.9749959548419063,0.18237598346508935,0.1867472979474435,23.475825568683554
5096,1,-3.0008087204978513,False,0.3,0.3,0.8331877881299986,23.166101263312974
5097,197,2.8107646518249663,True,0.9754923924807131,0.17663452138788477,0.20073407426733716,32.16242654785028
5098,230,-3.217990766290772,False,0.9747216176389949,0.17305888523884186,0.19700747966085724,33.31961105286188
5099,133,2.918239567899027,True,0.9832634940176901,0.15893620827410979,0.15576757538660546,15.220537861332023
5100,153,2.876721448402539,True,0.9791326863058385,0.12869262030249837,0.12494970459149232,2.786551691318726
5101,92,2.955114890751265,True,0.9568510711016307,0.17974620148510215,0.21640776612800264,25.65485425716514
5102,95,-3.118926485176888,False,0.9692831936609183,0.11054874114158265,0.16287957611920892,5.710691957743448
5103,43,-3.0176484885633488,False,0.9129093951920785,0.17280843739400448,0.20776577708939856,0.21306882123524495
5104,140,-3.081361928016626,False,0.9707683111758777,0.11661377771089586,0.153261162468429,10.576753200748549
