,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,cohesion_range
3873,100,2.9844630197638358,True,0.9618538905974368,0.14990893105813824,0.27811757898264133,1.1866294518710152
3874,121,2.9302401199754153,True,0.9588732940918617,0.2253122090426206,0.24399362727226512,26.909548611577044
3875,204,2.8221210931632523,True,0.9599152771888959,0.20298795709155523,0.23203873291748622,9.743739965639993
3876,45,2.9900867487798646,True,0.9667352516881473,0.1279963660971667,0.2630686257474114,21.865720154559423
3877,161,2.926402210702416,True,0.970683548929258,0.1784259235592677,0.29755711336622004,36.159819060869054
3878,151,2.8823422704677903,True,0.9849360129696465,0.1026336810500373,0.11054664608822623,12.136084695829128
3879,54,-3.043524472406387,False,0.9600714602620416,0.22399045852630567,0.3167789289005218,27.563780239805578
3880,198,-3.2001971932916087,False,0.9858626407306847,0.12133998760346865,0.12403203841534145,19.336997313323675
3881,22,-3.03239142501826,False,0.8970775360143572,0.22574990802588568,1.050848841426436,7.099808722011427
3882,49,2.988127873514076,True,0.9455050037923893,0.1506272621234369,0.24944766595092022,10.753270037031587
3883,92,2.974380484626429,True,0.9594066476160829,0.1555638549972294,0.23356914335027015,19.832304575032175
3884,156,2.871048123660156,True,0.9825541723884171,0.07362722041911067,0.1965289878207946,29.16083971570576
3885,168,2.86773363244409,True,0.9840438222530281,0.1412300725430036,0.7294497958557972,17.770604744502165
3886,70,2.973079829336878,True,0.9824227103747749,0.030289609307049353,0.09119494093370682,26.784146943053862
3887,132,2.921283714042674,True,0.9728188832365978,0.18911981923145083,0.8365087620078702,6.281755691930355
3888,26,-3.04485283259852,False,0.9034622050836851,0.17955494055412397,0.39048005280572756,30.463471359605656
3889,79,2.9664228574011506,True,0.9643503192274127,0.12357657887334977,0.28581993253681265,35.78381354557408
3890,1,-3.000610458839784,False,0.30000000000000004,0.30000000000000004,6.177846533293977,20.226472343644417
3891,161,2.8716955896608054,True,0.9876878371213991,0.11457278373488768,0.6352051881864818,34.01301778338161
3892,78,2.9688285128508483,True,0.9613995622640573,0.13050394270287247,0.36451379250570637,8.084188695451665
3893,199,2.795721911968299,True,0.9853881934060142,0.11049904838964071,0.13880161465589078,17.11585020088554
3894,1,-3.001421038523024,False,0.3,0.3,0.6122091670720158,20.90744413499523
3895,137,2.9051595628424884,True,0.9708219035238083,0.147763733260801,0.17300631239100858,16.812562264749463
3896,46,2.9904672948403603,True,0.9355650690242029,0.21369926232636463,0.3133286381538853,25.868514983959294
3897,101,2.9508729556512727,True,0.9791791928277871,0.09548183253491353,0.24915379245917374,23.612150713022785
3898,144,2.8946076944731076,True,0.9685997842360743,0.13296152085670937,0.4129201874487546,29.92555265402924
3899,1,-3.0011152332139845,False,0.25263118743896484,0.25263118743896484,6.50358110167479,14.240981233586014
3900,81,2.9668707250126247,True,0.9771842201734717,0.16846408348297387,0.23003670454295705,13.397882937991973
3901,94,2.954702552745044,True,0.9818927161908005,0.1567000580532207,0.7382963465384128,12.925464357507996
3902,1,-3.0006677695326482,False,0.3,0.3,1.505594934049462,18.38534881324488
3903,141,2.9045830922235734,True,0.9841256187991883,0.13903087059797833,0.5080797031461304,21.38606202288194
3904,1,-3.000888538579074,False,0.30000000000000004,0.30000000000000004,6.597690879187628,25.838487105860104
3905,39,2.9926137432498185,True,0.951195737634699,0.20445871379365205,0.18785344111950023,10.386811350607704
3906,81,2.965229421876195,True,0.9805835888737907,0.1184485881366035,0.26444575892593986,22.185620242787827
3907,48,-3.104195892334677,False,0.8962843059698211,0.20888073587625558,0.2004170134102551,18.07898579477296
3908,1,-3.000972637865343,False,0.3,0.3,1.2960189284818977,13.33124737916339
3909,102,2.9521063306094453,True,0.9757335363196299,0.1520244192212824,0.20561603839824782,4.053461993535241
3910,153,-3.039224547394407,False,0.8975229570019863,0.1960015512586815,0.32393927259977684,8.859700144361211
3911,1,-3.0013695104367963,False,0.3,0.3,1.617825421379742,8.891062923709594
3912,141,-3.19810932805502,False,0.9594295851414707,0.20427838688283298,0.24699807532441836,16.200023356379507
3913,65,2.98860449808185,True,0.9543411111429385,0.2112772293001038,0.847723399799078,26.075086041690504
3914,93,2.9553170009589675,True,0.9618553112181332,0.20404941654524655,0.22643742196640979,37.314868984923535
3915,118,2.9329030450214235,True,0.9517951146545113,0.1224334199771124,0.5810078444258808,0.8186858246419693
3916,13,-3.0066657876988025,False,0.8795544616535922,0.23767756333865236,0.2532938880352764,4.86698921998729
3917,63,2.978306087007877,True,0.9758148635448494,0.13704387145616,0.14870535545970404,31.3184822446406
3918,29,2.995173991093683,True,0.9152026337676249,0.09216323198377405,0.29391398269333685,28.039812647694195
3919,57,-3.0257205946162147,False,0.7142896352402298,0.2626715622977557,1.5180414222590017,2.45096007690472
3920,144,2.892272713983568,True,0.9857802581875893,0.12104018641945337,0.15628086467066457,35.19788817666022
3921,136,2.938737544424751,True,0.9500945408069796,0.20985819264539163,0.5555752861773887,4.46840826649765
3922,149,2.9353318721050936,True,0.9585931298911842,0.21272992271684443,0.36784484487085023,11.627268017859894
3923,49,-3.0116180317007752,False,0.8235414676130007,0.25155362541216375,0.26166912303375617,4.331852104777476
3924,38,-3.0383396345005287,False,0.9420168545961982,0.1812739846064083,0.30154423279050707,4.972485961494351
3925,32,2.995051547086055,True,0.9364548375785822,0.21705835271595167,0.7764324515716229,37.16463402163264
3926,110,2.938547261512836,True,0.9817950367265682,0.17755734325484854,0.9158875325668676,10.565020768597524
3927,106,2.945616293122882,True,0.9825757134482571,0.12025398427626414,0.16126576943503207,23.932019516047298
3928,65,2.981199138027483,True,0.9508443658345722,0.2589162634163733,0.26303283467730026,29.47532696899032
3929,29,2.9950430981673994,True,0.8938611891620117,0.11716717251180933,0.3486163274991497,8.562647363367724
3930,54,2.9845146844126798,True,0.9448391164700655,0.24128486478486175,0.2564964129612142,11.432496156104639
3931,122,2.921492586455324,True,0.9867257552008133,0.06451365314033643,0.11124360440943215,35.85327127511857
3932,105,-3.1115166541527812,False,0.9244610535582066,0.245268575274041,0.9126990712464407,27.989704583047658
3933,38,2.9926411494622736,True,0.9462251796917505,0.21845333292825314,0.3361073650752576,7.85743605652943
3934,138,-3.082404462750696,False,0.9736334381143034,0.14661394475917155,0.1861539814935654,35.356716762848734
3935,108,2.9385382436928396,True,0.97581394449946,0.10305083859743361,0.12362102454944614,29.019772090044086
