,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_velocity,max_acceleration
0,51,-3.029992541583424,False,0.971712288876509,0.08537888376892484,0.5821805237814409,1.0,0.3
1,77,2.9702350086415317,True,0.9835653538561188,0.07959881003302342,0.14293204478666863,1.0,0.3
2,103,2.9548617233736665,True,0.9816487780057833,0.10204255701205198,0.15379228778130324,1.0,0.3
3,22,-3.020552047224799,False,0.9334379147904304,0.23393429197906934,0.26323675436760824,1.0,0.3
4,1,-3.0005139475380607,False,0.3,0.3,5.357549710101554,1.0,0.3
5,71,-3.069815491143996,False,0.9737938406494777,0.08830024327490867,0.14737114494373463,1.0,0.3
6,45,2.9893843878189656,True,0.9674882100498667,0.13662820868686473,0.2288063074510536,1.0,0.3
7,8,-3.0154547163282346,False,0.8373686931502532,0.2373601366921991,0.42711804123315933,1.0,0.3
8,194,2.801719476835401,True,0.9845615389006764,0.06923645802092934,0.08238685981673438,1.0,0.3
9,139,2.9005945026698243,True,0.9889422156123894,0.10133316324965656,0.12550034541561497,1.0,0.3
10,41,-3.068317964009512,False,0.9630301470546515,0.12148461383087396,0.20362540449493194,1.0,0.3
11,25,-3.009646369943911,False,0.9438240898737537,0.1999547198597582,0.38296064341330516,1.0,0.3
12,1,-3.0003417435853095,False,0.3,0.3,0.5358694203580017,1.0,0.3
13,62,-3.023449694844168,False,0.975494348774959,0.162286315007169,0.22485916605621997,1.0,0.3
14,19,-3.0205125441985494,False,0.9331292065020258,0.15018381918034485,0.14521999548090694,1.0,0.3
15,40,-3.02111122996431,False,0.9627496111968101,0.18635451337895365,0.20802838984532404,1.0,0.3
16,212,2.8103595314498135,True,0.9912986604633999,0.10983140139997524,0.13870860309506963,1.0,0.3
17,16,-3.0207616169684304,False,0.8896106312747133,0.24994152027214767,0.6258752390222347,1.0,0.3
18,40,-3.0347720808992333,False,0.9449974914009627,0.20662796899440844,0.955570002368393,1.0,0.3
19,99,2.9645895723424336,True,0.9649544298312223,0.11725796645522274,0.20569634226667347,1.0,0.3
20,58,2.9816936083943526,True,0.97450961247854,0.10660357951857638,0.1408610497325029,1.0,0.3
21,47,2.989632084532305,True,0.9510992722133991,0.17954513867500801,0.705595164258076,1.0,0.3
22,50,2.98651569648522,True,0.952865050449514,0.1312256188233703,1.3059636800434296,1.0,0.3
23,210,2.78524095946162,True,0.9885158369910609,0.11017183918727459,0.11294921114921228,1.0,0.3
24,87,2.959818519640671,True,0.9857290070531333,0.07290099205046832,0.08702193060794529,1.0,0.3
25,51,-3.04545169612827,False,0.9562403107353623,0.14308807673319698,0.16525495354309647,1.0,0.3
26,138,2.9186993960477503,True,0.9742819411340184,0.1134114089609061,0.180657721566409,1.0,0.3
27,28,-3.029214327566606,False,0.9545924646991951,0.1822404778234167,0.38828289411373657,1.0,0.3
28,135,-3.1376334592643893,False,0.9866957697073883,0.1222756688990611,0.1277471124564861,1.0,0.3
29,56,2.9837803347186993,True,0.9710088811594643,0.10639382994618847,1.000322007763563,1.0,0.3
30,45,-3.018102119037634,False,0.9704521546302973,0.15878152022220643,0.2351383741283371,1.0,0.3
