,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_velocity,max_acceleration
0,113,-3.1078194071026344,False,0.9862603070954901,0.09881953001173271,0.13231390561434864,0.3,0.1
1,189,2.8254681941526094,True,0.9909499795928091,0.08947206622182127,0.0882541584611927,0.3,0.1
2,141,-3.1735285906650708,False,0.9892644891948279,0.10380584164723769,0.13561086652128382,0.3,0.1
3,102,-3.1032766869495565,False,0.9869458060842792,0.1161194231191435,0.17359859797935848,0.3,0.1
4,81,2.9726012727116595,True,0.9698564905381948,0.11683582124976495,0.17429415991601777,0.3,0.1
5,86,-3.075809274203035,False,0.9851344910320826,0.1023261508071638,0.1413295994818272,0.3,0.1
6,100,2.9464862163292183,True,0.9870360120519744,0.07630938286556445,0.14636632942658362,0.3,0.1
7,70,2.975322486060194,True,0.981273759397288,0.12034937915451678,0.11083939949987871,0.3,0.1
8,68,2.9779653891648037,True,0.9706842431974958,0.1440362024572893,0.2090915261179218,0.3,0.1
9,1,-3.0001433657422747,False,0.30000000000000004,0.30000000000000004,7.724271124725412,0.3,0.1
10,98,-3.0491120475790394,False,0.9793149117865189,0.15988235563071204,0.15456465080527101,0.3,0.1
11,105,2.9449283246844984,True,0.9882893203053673,0.08671146856976376,0.08833799301918262,0.3,0.1
12,55,2.9846280146176225,True,0.9778272527316919,0.10568521284741213,0.17304738464819094,0.3,0.1
13,235,-3.252169457800509,False,0.9842829898533785,0.10236624388393477,0.10683210711081934,0.3,0.1
14,217,-3.155893028446837,False,0.9879078479283779,0.11978684605099803,0.19178696733334807,0.3,0.1
15,263,2.7719003329523355,True,0.9917243228317852,0.11374616745024961,0.14045708344478156,0.3,0.1
16,138,2.925429991059306,True,0.9840645163627885,0.101233244540512,0.2820508108993363,0.3,0.1
17,1,-3.0004795904167443,False,0.3,0.3,6.563453446661137,0.3,0.1
18,70,2.974395603691038,True,0.9824120359818412,0.08727952345076967,0.07417541891886285,0.3,0.1
19,180,2.8681465609480483,True,0.9887315526597201,0.10110851066986054,0.2914136560641981,0.3,0.1
20,158,2.8727825512132616,True,0.9912600731262062,0.08998690698036252,0.43820502146512486,0.3,0.1
21,48,-3.076591736872701,False,0.9419156060327348,0.24231572475874996,0.26608135536602445,0.3,0.1
22,107,-3.1418854868796786,False,0.9877060510750674,0.1307030475030284,0.15929352154229093,0.3,0.1
23,128,2.929267047463542,True,0.9827394411645768,0.1174439414606074,0.15560068238871091,0.3,0.1
24,92,2.9573426250849235,True,0.9855030608292412,0.0994171580876203,0.15636921352496033,0.3,0.1
25,73,2.991378627421526,True,0.9657103029898428,0.17060324700514984,0.25521442338610334,0.3,0.1
26,131,2.9250238472330596,True,0.9889821590677678,0.09882927005553342,0.3718028004083478,0.3,0.1
27,53,-3.016237423181596,False,0.9467391285429301,0.08092664601640352,0.20979374052005156,0.3,0.1
28,211,2.823538717411848,True,0.9906807003016112,0.09889752607840709,0.28608522718653934,0.3,0.1
29,134,2.9069682418775677,True,0.9909812167556704,0.04388239402045705,0.051505910913315946,0.3,0.1
30,154,2.8862514038004656,True,0.9886391866595072,0.11735626174587217,0.4275584236806065,0.3,0.1
31,68,-3.028216746351004,False,0.960601467990391,0.12083704112364722,0.1272103474847106,0.3,0.1
32,100,2.9632748468184698,True,0.9808563167169203,0.15002302673893497,0.5146879102435166,0.3,0.1
33,137,2.918132410510253,True,0.9806748010470236,0.09438316017872186,0.1334620619778978,0.3,0.1
34,153,-3.137603882770173,False,0.9892930167994513,0.1427756811933174,0.17649581196996605,0.3,0.1
