,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_velocity
7646,33,-3.041103598115562,False,0.9285192339482982,0.242512595672248,0.38022294780762467,1.848196102454107
7647,32,2.9976755370461583,True,0.8953414880871072,0.23083210543481875,0.23254175960420875,1.4058069117002026
7648,146,2.896942543023515,True,0.9674040388932461,0.15110213143116535,0.718277580479899,0.8064444122198284
7649,11,2.9992204665893194,True,0.8772512941622768,0.1945978174443919,0.7740630607913154,0.011718748166313242
7650,80,-3.1099980092985775,False,0.887119947501392,0.23199265807646233,0.8378533547707756,1.1646381092571654
7651,157,2.8799012591617648,True,0.9852443665017404,0.12232329539695304,0.19252815825776354,0.9336961894996567
7652,63,-3.0589642332789118,False,0.9592098461311397,0.1585861440366827,0.23611252712808967,0.5779302816410237
7653,1,-3.001210026888752,False,0.30000000000000004,0.30000000000000004,6.354414010186686,0.7493698760350018
7654,222,2.7509216794894344,True,0.9877925136798997,0.12064321389057535,0.35130223344222417,0.32000733772268575
7655,49,2.9892950952078046,True,0.9273547010377173,0.22494871420137744,0.34422792858171675,1.7282266650442155
7656,77,2.9728242220171874,True,0.972448225173391,0.10364787602486888,0.17092169114626718,0.10908899786855542
7657,107,2.953909082892833,True,0.9618829097725676,0.13443191423216333,0.1494348059271587,1.0434132014149025
7658,53,-3.06991830874754,False,0.9633706190006346,0.20581721556373497,0.22769192979349484,1.7873747234045045
7659,113,-3.0687253199445657,False,0.8935386819160467,0.2239590571079015,0.4671102057556817,1.9866370723396638
7660,1,-3.0006337713470987,False,0.30000000000000004,0.30000000000000004,1.0944817162766296,0.9185838951847645
7661,13,-3.0237559233816107,False,0.84775603713805,0.22678829885832963,0.6873637693789707,1.6115047966147202
7662,83,2.9620981344056245,True,0.9827414477532254,0.05904031576113841,0.14875263660169982,1.9173623947815661
7663,152,2.9068843340583093,True,0.9017433067145283,0.2319605251244092,0.261707766784014,1.4408227797714983
7664,160,2.8662305193549407,True,0.9791669132489117,0.1187559940401089,0.1539785635593785,1.4936262010031103
7665,2,-3.000536072020076,False,0.4495541665896957,0.30000000000000004,3.1072357516469706,0.21756868865213774
7666,96,-3.115184790484782,False,0.9673886391326608,0.14137595862329624,0.46122387216979516,1.68755676084509
7667,79,-3.0426380869327607,False,0.9218424495649866,0.16468697694014897,0.19519573804473322,1.422866751264442
7668,34,2.9938086613144628,True,0.926468367077192,0.18043683352369363,0.34672740817033065,0.9657612111625249
7669,90,2.957884924190605,True,0.9781145675624046,0.09355644221144827,0.1634425445158217,1.0329936020688475
7670,1,-3.001088058699227,False,0.0,0.0,3.873824432161084,1.4040451701951109
7671,95,2.9556210951256996,True,0.9678570129476372,0.13901107568191667,0.6931945448060306,0.6401583237551283
7672,260,2.7930607492658477,True,0.9802451891779836,0.14019288624757922,0.25245514063940133,0.08747105259462562
7673,89,-3.1103953883482625,False,0.94848693065192,0.1903062557088161,0.19906872835331993,1.274906763736126
7674,125,2.939171627899049,True,0.9756305307770005,0.16745737805798636,0.21108830856968894,1.0979496370131139
7675,156,-3.062138556379093,False,0.9075824185378428,0.15473014988416095,0.23018904169774615,0.9555626183783998
7676,118,-3.03095537069693,False,0.975670292241177,0.15153450886180841,0.206434182299774,0.29390840003827967
7677,146,2.8872590408915553,True,0.9902336425629726,0.04669463320352446,0.04471175707475361,1.8918376369037855
7678,180,2.8395231133437333,True,0.9895092314868748,0.12091590485225219,0.12572395422352245,0.8955482979152862
7679,122,2.936029431540426,True,0.9168209062126214,0.24472516680917097,0.2504662106288818,1.0689352028490429
7680,53,2.986546171471323,True,0.9734231731551246,0.10734399108931003,0.19476887491927355,0.7756381133714958
7681,128,-3.035333358920632,False,0.9475046510940025,0.14014913088120362,0.23564423023925074,1.066548977844462
7682,36,2.992534765973572,True,0.9490490263372955,0.0666719789321109,0.2129710834414592,1.0658604529018687
7683,74,2.974263454313751,True,0.9428262721329738,0.17325245750452253,0.17314023988077964,0.8157934693321349
7684,169,2.8492461658680392,True,0.9886845770592507,0.07995522593306666,0.08031334688750738,0.6331295102434986
7685,71,-3.084248533160191,False,0.9631229479743209,0.13899212309218456,0.20930059755063,0.15152313576438892
7686,24,-3.025243286996623,False,0.9001772587105926,0.2777306875632749,0.23229336405602405,0.9469307074356716
7687,178,-3.1157639874326657,False,0.9660302207019414,0.12568972849521248,0.15555656333561008,0.06760153899432475
7688,113,2.932455578991889,True,0.9790270075410593,0.09799374305224112,0.1513069053427367,1.6017830411206226
7689,150,2.928380760067997,True,0.9736981877541095,0.17952910495964222,0.2536290574689054,0.6725110041142504
7690,132,-3.1143005873374565,False,0.9582551369610612,0.18967078175354843,1.2400220807425986,1.6621554941956882
7691,16,-3.0043275952364246,False,0.8738274014002344,0.22785069773853506,0.4901915187557676,0.7618195720471956
7692,85,-3.0833260076186213,False,0.9316625864719396,0.20301126670891576,0.23062560010818867,0.9900482628022838
