,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,cohesion
7365,35,2.993141347302423,True,0.959196601904964,0.14191305090738843,0.13655850009423257,3.876406643430552
7366,77,2.9675711231645776,True,0.9841828419048866,0.04713673945575665,0.04554919205656467,9.056228924754208
7367,169,2.847539180790556,True,0.9923424097486047,0.03529964765290832,0.031900269482041055,6.837668418890718
7368,61,2.9822024127469415,True,0.9651724043196618,0.15778663805304685,0.17774883279551448,4.683635949127246
7369,219,2.8780991598989596,True,0.975419777704113,0.1781896110544663,0.2633770474194745,1.0810814897888976
7370,16,-3.015574577322011,False,0.8694051462592741,0.27204383016914996,0.5824019592591122,2.253856675245911
7371,141,2.898008566956292,True,0.9864862150484441,0.11978205684130612,0.12115693848886902,4.3118224480664304
7372,76,2.9702539709659663,True,0.969864725054243,0.13502692251070866,0.14934221273631354,9.145002119701719
7373,59,2.988586345603653,True,0.9512204764603535,0.23626858824332955,0.3245976331358143,2.067508306192982
7374,6,-3.0116483616259506,False,0.7787586536335014,0.3,0.26443240319884087,8.663285771075355
7375,144,2.891320957196909,True,0.9854426969505153,0.13045561531237798,0.13322270558806845,4.34186240485169
7376,5,-3.002987824843117,False,0.6215927984432659,0.2889183791975554,1.2192874729740149,3.828621714866476
7377,119,2.9257416235166387,True,0.985405928392111,0.13176605562909646,0.1784934112991929,9.501567155421514
7378,46,2.988073005732946,True,0.9716581014285515,0.07425591999282012,0.10078658809249194,6.529840653671704
7379,177,2.84072928533725,True,0.9892120381720216,0.09704974996961728,0.12423090796222613,9.921237528023834
7380,219,-3.124153121122914,False,0.9172043327764378,0.16342520653632991,0.3601776245540143,0.3971860709967068
7381,109,2.9495896085208146,True,0.9451897155698833,0.18356511492291527,0.6593745139987223,0.4706599062038641
7382,227,2.7382693956450592,True,0.9875895743844857,0.09211691184340227,0.10259169739803882,8.15844181397017
7383,148,2.8829663744719967,True,0.99049312375108,0.06864822810668397,0.10717757691764276,8.745455061546682
7384,114,2.932863575816065,True,0.9874713497719804,0.07837901438760997,0.07885749763288331,4.174169066871741
7385,78,2.968381788944064,True,0.9743902035910517,0.11799245087132319,0.11176908926269313,5.915222996360068
7386,162,2.863786345636481,True,0.9857321978407543,0.11019785402034452,0.13530554169335368,8.873307022415398
7387,180,2.8583567418374427,True,0.9823415805596497,0.16798179835648633,0.19293552222974114,2.086289149494479
7388,60,-3.0458703037137864,False,0.9621502925415641,0.13450774292953221,0.14015096706160676,2.478494644218899
7389,91,2.962193939298544,True,0.9847147189129498,0.11046266578694232,0.2979811390266368,7.768649168420905
7390,122,2.9703916045225722,True,0.945573185796736,0.18144806544615527,0.3702295021513409,5.550397826112208
7391,67,-3.0754773683873777,False,0.9746558843610185,0.1506733244836453,0.5137544728981234,4.490637292601182
7392,14,-3.008935875788616,False,0.8869813529472428,0.25608851466401733,0.594466417762528,4.924746493760798
7393,112,2.9335594077124214,True,0.9870088350865258,0.08920050331267396,0.1464723053556665,9.584530050784249
7394,16,2.998297682971929,True,0.9238183625588717,0.08406121773944296,0.4103278804381133,8.61519350167721
7395,75,2.9700599170704223,True,0.9654421366048673,0.08331576689969855,0.159207985339512,5.843970538542007
7396,1,-3.001141728678174,False,0.30000000000000004,0.30000000000000004,6.3848872199067594,2.849704504574837
7397,62,2.98126897654498,True,0.9672057303050304,0.16517798390285102,0.73053745432816,2.089069698741283
7398,126,2.917330727269498,True,0.9861860353155096,0.12635258746563854,0.13606251351682164,9.794939430238545
7399,175,2.8543852685560847,True,0.9830425836014427,0.12935506383803616,0.13658419275773848,6.760591541601114
