,length,success,reward,start_distance,mean_velocity,mean_acceleration,min_velocity,min_acceleration,max_velocity,max_acceleration,std_velocity,std_acceleration,mean_angle_change,min_angle_change,max_angle_change,std_angle_change
0,23,False,-3.031519429757888,142.96296032998444,0.9478260869565218,0.043478260869565265,0.39999999999999997,0.0,1.0,0.39999999999999997,0.14705682195902406,0.10140785904078779,0.09907512944211089,0.0,2.2787279570785968,0.4647035442586306
1,19,False,-3.019599471692378,83.44271816676134,0.9368421052631579,0.052631578947368446,0.4,0.0,1.0,0.4,0.1596394830326642,0.10939268258329751,0.07050340012912926,0.0,1.3395645877874007,0.2991205905112725
2,10,False,-3.008272012124724,52.11993963889329,0.8799999999999999,0.1,0.4,0.0,0.9999999999999999,0.4,0.20396078054371133,0.1341640786499874,0.12250677110805155,0.0,1.2250676895424113,0.36752030614478653
3,42,False,-3.0315697755271094,60.4310068268974,0.9714285714285713,0.023809523809523864,0.39999999999999997,0.0,1.0,0.39999999999999997,0.1118794297568641,0.0781010450802701,0.003903728533044696,0.0,0.1639565866826889,0.024996056958253403
4,40,False,-3.0445082542829347,106.47529723235031,0.97,0.025000000000000005,0.4,0.0,1.0,0.4,0.11445523142259596,0.07984359711335655,0.04093977973500411,0.0,1.6375911893302875,0.25566884248878274
5,35,False,-3.0252882458383183,53.664528270043945,0.9657142857142856,0.02857142857142873,0.4,0.0,1.0,0.4,0.12175586144378572,0.08475655413823609,0.011417618556623751,5.551115123125783e-17,0.39961664815245973,0.06657558432938078
6,23,False,-3.02374326263953,85.58236150338314,0.9478260869565216,0.04347826086956526,0.4,0.0,1.0,0.4,0.147056821959024,0.1014078590407878,0.07452122534414549,0.0,1.7139881730230278,0.3495355276864839
7,42,True,2.9772533367177627,42.56316000364374,0.9714285714285713,0.02380952380952423,0.39999999999999997,0.0,1.0000000000000002,0.39999999999999997,0.11187942975686413,0.07810104508027,0.0740136135159966,0.0,3.1085717668190456,0.47391836247107844
8,8,False,-3.0110740304426393,138.2501168872923,0.85,0.12500000000000003,0.4,0.0,1.0,0.4,0.21794494717703364,0.13919410907075053,0.2577324743875845,0.0,2.0618597944937047,0.6818960317854591
9,29,False,-3.035201982773598,117.42242550976036,0.9586206896551724,0.03448275862068966,0.4,0.0,1.0,0.4,0.13265782111497476,0.09201147630431955,0.10664863834823024,0.0,3.092810510929101,0.5643315492451377
10,27,True,2.9881375091525526,27.30528550950726,0.9555555555555556,0.03703703703703735,0.4,0.0,1.0,0.4,0.13698697784375502,0.09486109981381986,0.012356167162323805,5.551115123125783e-17,0.33361648741302674,0.06300433238082322
11,18,False,-3.025589946573569,150.57062934182414,0.9333333333333331,0.055555555555555615,0.4,0.0,1.0,0.4,0.1632993161855452,0.11166528467912099,0.018248576471474244,0.0,0.3284743593976515,0.07524080416438621
12,24,False,-3.0327405597203887,142.2647720935294,0.9500000000000001,0.04166666666666677,0.4,0.0,1.0,0.4,0.14433756729740643,0.09965217285917827,0.12321205931357317,0.0,2.9570894190804333,0.5909042771813968
13,22,False,-3.0226788419514072,84.86131375643866,0.9454545454545454,0.04545454545454561,0.39999999999999997,8.326672684688674e-17,1.0000000000000002,0.39999999999999997,0.14993111365882403,0.10325287901455037,0.06114161927013862,0.0,1.3451156124073207,0.28018609590027843
14,85,False,-3.0707950846954057,93.37819545500787,0.9858823529411764,0.01176470588235307,0.39999999999999997,0.0,1.0,0.39999999999999997,0.0799307658892378,0.056175700641474424,0.028198952904795953,0.0,2.396910996769975,0.25844767239442235
15,7,False,-3.004167349065748,27.375085993858228,0.8285714285714285,0.14285714285714296,0.3999999999999999,0.0,0.9999999999999999,0.3999999999999999,0.22497165354319457,0.13997084244475289,0.38927728541642814,0.0,2.7249409714055073,0.9535307069035666
16,14,False,-3.012050851561571,58.10508202534273,0.9142857142857144,0.07142857142857147,0.4,6.938893903907228e-18,1.0000000000000002,0.4,0.18070158058105024,0.12205719636167901,0.0006305511074125448,6.938893903907228e-18,0.008827715031463906,0.0022734842185808315
17,17,False,-3.0235895867600435,143.31191626315183,0.9294117647058824,0.05882352941176475,0.4000000000000001,2.7755575615628914e-17,1.0000000000000002,0.4000000000000001,0.16720788710061052,0.11406305546861949,0.18284208913521566,0.0,3.108315515039206,0.7313683564759976
18,65,False,-3.086329073455935,156.46732901357706,0.9815384615384615,0.015384615384615408,0.4,0.0,0.9999999999999999,0.4,0.09096458768673524,0.06380443493331604,0.026015125455722425,0.0,1.6909831540271503,0.20812100357142843
19,26,False,-3.0390807713701538,171.42100706422426,0.9538461538461539,0.038461538461538505,0.4000000000000001,0.0,1.0,0.4000000000000001,0.1393136175098064,0.09638433912416668,0.05828854775935036,0.0,1.5155022404215235,0.29144273853243463
20,3,False,-3.0032108569300617,81.66707319056138,0.5333333333333333,0.20000000000000004,0.4,0.0,0.6000000000000001,0.4,0.09428090415820638,0.16329931618554522,0.9849920905330928,1.3573315804649155e-09,2.9549762661899455,1.3929891694371512
21,4,False,-3.0049962708515143,111.32173291622382,0.6499999999999999,0.19999999999999996,0.3999999999999999,0.0,0.7999999999999998,0.3999999999999999,0.16583123951776996,0.14142135623730948,0.5447176893262471,3.0800841877010043e-09,2.178870729783919,0.9434786978052823
22,73,False,-3.0580966648134735,82.45082681679187,0.9835616438356164,0.013698630136986498,0.4,0.0,1.0000000000000002,0.4,0.08602914229100046,0.06039837721931119,0.03992065725563273,0.0,2.914207965829008,0.3387380078284441
