,length,success,reward,start_distance,mean_velocity,mean_acceleration,min_velocity,min_acceleration,max_velocity,max_acceleration,std_velocity,std_acceleration,mean_angle_change,min_angle_change,max_angle_change,std_angle_change
0,50,True,2.970866553716623,50.04475845983969,0.974028272054846,0.06925499062899819,0.39727531984613806,0.0,1.0000000882150135,0.39727531984613806,0.10373262812700448,0.08744934605139736,0.10091419684564887,0.0015445041081552091,2.356194490192345,0.3288316047442739
1,87,True,2.935771265054214,83.44271816676134,0.9641365544713206,0.08934939261762874,0.3762213041108244,0.0,1.0000000880828035,0.3762213041108244,0.09203913843152668,0.08948893309257742,0.1034389745118179,3.656744955327085e-05,1.5527557045757203,0.1801994321881701
2,59,True,2.9643210546557768,52.11993963889329,0.9181632339767214,0.1754235122230826,0.37777358468104877,0.0,1.0000000618947096,0.37777358468104877,0.11102189859090107,0.0637895047349123,0.1912175534602018,0.00070279824377395,0.7853981633974483,0.10895513865983852
3,40,False,-3.0316427953543417,60.4310068268974,0.8864999665352901,0.1828962080825542,0.39991865503396956,0.0,1.0000000355743768,0.39991865503396956,0.11516918885664554,0.06421669860007162,0.17909628399064453,0.005142196449053851,0.24679660846585835,0.07372651083272368
4,116,True,2.902334939900669,106.47529723235031,0.9359477681344072,0.12558013010520427,0.355840673675383,0.0,1.0000000901764399,0.355840673675383,0.10270008148979418,0.08818313299191431,0.15676562230323954,0.00026085972194245244,2.356194490192345,0.22888414256721323
5,55,True,2.967124319711888,53.664528270043945,0.9609019866165109,0.07305530825214172,0.38210157089117347,0.0,1.00000008271289,0.38210157089117347,0.10478588200049138,0.09714617504155548,0.08116371071689935,0.00032484530259963007,0.7609110522565516,0.12986002003277933
6,88,True,2.9338427030594834,85.58236150338314,0.9693445937371511,0.09991774849806352,0.355840673675383,6.0823706366247775e-09,1.0000000915814116,0.355840673675383,0.09021321821421427,0.08811097288509012,0.12290927572037885,0.0001492500294093535,2.2291099934562273,0.24456549391137
7,43,True,2.9768416780684714,42.56316000364374,0.9658727827804708,0.06523621345398217,0.355840673675383,0.0,1.0000000889608276,0.355840673675383,0.12133606494732896,0.0882181474332128,1.3754157065446917,0.0003877281948341249,6.279438219073608,2.485214969278447
8,171,True,2.8385307477975674,138.2501168872923,0.9064264870443575,0.13541923723324714,0.39453721885830495,0.0,1.0000000889896783,0.39453721885830495,0.10138498827539036,0.09220219456702315,0.26883522902654317,0.0005227624934929231,6.075310252614958,0.8010319847168091
9,122,True,2.8924962026607512,117.42242550976036,0.9661562568490542,0.0949518711405678,0.355840673675383,0.0,1.0000000866610095,0.355840673675383,0.0939984242486252,0.0875862872838229,1.3357265646244163,0.0002560615483586659,6.252586087962012,2.4355004971775776
10,27,True,2.9880152032295393,27.30528550950726,0.9481621376766639,0.045509202278231436,0.355840673675383,0.0,1.000000088519122,0.355840673675383,0.14995153551485324,0.0856232996693518,0.061919989117362635,0.0030180421571108784,0.7853981633974483,0.16719769186480685
11,154,True,2.8476472999660967,150.57062934182414,0.9781507118403149,0.10451676062365572,0.3986480777842639,0.0,1.000000098353008,0.3986480777842639,0.06471517086045088,0.08660697923546831,0.10373841036217075,7.981061918488352e-05,0.587213842933129,0.09336194267658839
12,179,True,2.843275764571664,142.2647720935294,0.9495115801474129,0.11089717784701984,0.3619026883497618,0.0,1.0000000873765482,0.3619026883497618,0.09045092672715231,0.09190712834922846,0.49510927839265817,0.0004961490233368337,6.125099222400367,1.4458225421941744
